t_binance_ms,t_received_ns,t_sent_ns
1777485633182,1777485632808405675,1777485632808444685
1777485633182,1777485632808508914,1777485632808579646
1777485633182,1777485632808623779,1777485632808675596
1777485633182,1777485632808719630,1777485632808772038
1777485633182,1777485632808815580,1777485632808868284
1777485633182,1777485632808920396,1777485632808971425
1777485633182,1777485632809014967,1777485632809070527
1777485633182,1777485632809101657,1777485632809140766
1777485633182,1777485632809186574,1777485632809239770
1777485633182,1777485632809283115,1777485632809342813
1777485633183,1777485632812039067,1777485632812224465
1777485633183,1777485632812811494,1777485632812960837
1777485633183,1777485632813752178,1777485632813870096
1777485633183,1777485632813929006,1777485632814011559
1777485633183,1777485632814397821,1777485632814528644
1777485633183,1777485632814568049,1777485632815648619
1777485633183,1777485632816982856,1777485632817224800
1777485633183,1777485632817753904,1777485632817972008
1777485633183,1777485632818043134,1777485632818131301
1777485633183,1777485632818180360,1777485632818236216
1777485633183,1777485632818280546,1777485632818334727
1777485633184,1777485632818378565,1777485632818432746
1777485633184,1777485632818476583,1777485632818529385
1777485633184,1777485632818561106,1777485632818622971
1777485633184,1777485632818691535,1777485632818746800
1777485633184,1777485632818777437,1777485632818839794
1777485633184,1777485632818883632,1777485632818946088
1777485633184,1777485632819003323,1777485632819040462
1777485633185,1777485632819069818,1777485632819121241
1777485633185,1777485632819163700,1777485632819200740
1777485633185,1777485632819229801,1777485632819266742
1777485633185,1777485632819295311,1777485632819332449
1777485633186,1777485632819361412,1777485632819412244
1777485633186,1777485632819467804,1777485632819505731
1777485633186,1777485632819536368,1777485632819573802
1777485633186,1777485632819612911,1777485632819689159
1777485633186,1777485632819746689,1777485632819813776
1777485633186,1777485632819868055,1777485632819926079
1777485633186,1777485632819955041,1777485632820013261
1777485633186,1777485632820068427,1777485632820119358
1777485633188,1777485632822566674,1777485632822723307
1777485633188,1777485632823693348,1777485632824329829
1777485633188,1777485632824380464,1777485632824488531
1777485633188,1777485632824531482,1777485632824644868
1777485633188,1777485632824675013,1777485632824793916
1777485633188,1777485632824868883,1777485632824954785
1777485633188,1777485632825001676,1777485632825069945
1777485633188,1777485632825112994,1777485632825198009
1777485633188,1777485632825245886,1777485632825300757
1777485633188,1777485632825344791,1777485632825399169
1777485633188,1777485632825444189,1777485632825498567
1777485633188,1777485632825543390,1777485632825582893
1777485633188,1777485632825649684,1777485632825728591
1777485633188,1777485632825759130,1777485632825798042
1777485633188,1777485632825828974,1777485632825867591
1777485633188,1777485632825928372,1777485632825979499
1777485633188,1777485632826035651,1777485632826073381
1777485633188,1777485632826102639,1777485632826139974
1777485633188,1777485632826193761,1777485632826257006
1777485633188,1777485632826286953,1777485632826324387
1777485633190,1777485632826354236,1777485632826404576
1777485633190,1777485632826434622,1777485632826471071
1777485633190,1777485632826508604,1777485632826545250
1777485633190,1777485632826574508,1777485632826610661
1777485633190,1777485632826882158,1777485632826955648
1777485633190,1777485632827035935,1777485632827080363
1777485633190,1777485632827140455,1777485632827195424
1777485633221,1777485632849050255,1777485632849244618
1777485633221,1777485632849849477,1777485632850025714
1777485633221,1777485632850599837,1777485632850726227
1777485633221,1777485632850857149,1777485632850991026
1777485633221,1777485632851843346,1777485632852099771
1777485633221,1777485632852147549,1777485632852287238
1777485633221,1777485632852353634,1777485632852446629
1777485633221,1777485632852490959,1777485632852554893
1777485633221,1777485632852605626,1777485632852748467
1777485633221,1777485632852800974,1777485632852864612
1777485633221,1777485632852909533,1777485632852969133
1777485633221,1777485632853016517,1777485632853083603
1777485633221,1777485632853152659,1777485632853304465
1777485633221,1777485632853352243,1777485632853407015
1777485633221,1777485632853477944,1777485632853535376
1777485633221,1777485632853578130,1777485632853631523
1777485633221,1777485632853669844,1777485632853722744
1777485633221,1777485632853843224,1777485632853904990
1777485633221,1777485632853946463,1777485632854019362
1777485633221,1777485632854074725,1777485632854139348
