t_binance_ms,t_received_ns,t_sent_ns
1777485035252,1777485035098846528,1777485035099002746
1777485035331,1777485035178526530,1777485035178704560
1777485035492,1777485035341169336,1777485035341344943
1777485035492,1777485035341832985,1777485035341931139
1777485035492,1777485035342517537,1777485035343276816
1777485035492,1777485035343766777,1777485035343873211
1777485035492,1777485035344245429,1777485035344393568
1777485035492,1777485035345043383,1777485035345140628
1777485035492,1777485035345649271,1777485035345777517
1777485035492,1777485035346844586,1777485035347005954
1777485035492,1777485035347536813,1777485035347658596
1777485035761,1777485035612286458,1777485035612430154
1777485036037,1777485035890885385,1777485035891048268
1777485036054,1777485035907974552,1777485035908160458
1777485036692,1777485036550737593,1777485036550879736
1777485036696,1777485036554982067,1777485036555197094
1777485036696,1777485036555600169,1777485036555695905
1777485036696,1777485036556136429,1777485036556266392
1777485036696,1777485036556974089,1777485036557077073
1777485036696,1777485036557832084,1777485036557937484
1777485036696,1777485036558581157,1777485036558746554
1777485036697,1777485036561184638,1777485036561360908
1777485036697,1777485036562451447,1777485036562544867
1777485036697,1777485036563134581,1777485036563776341
1777485036697,1777485036564271025,1777485036564382565
1777485036697,1777485036564838491,1777485036565067411
1777485036697,1777485036565703131,1777485036565913024
1777485036697,1777485036566502537,1777485036566638540
1777485036697,1777485036567423148,1777485036567509118
1777485036697,1777485036568001487,1777485036568109806
1777485036697,1777485036568687842,1777485036568768981
1777485036697,1777485036569159775,1777485036569249470
1777485036697,1777485036569707410,1777485036569770932
1777485036697,1777485036570419235,1777485036570544064
1777485036697,1777485036571150590,1777485036571239882
1777485036697,1777485036571741411,1777485036571841677
1777485036697,1777485036572496322,1777485036572600916
1777485036697,1777485036573748232,1777485036573850209
1777485036697,1777485036600387558,1777485036600638926
1777485036697,1777485036601076229,1777485036602042342
1777485036698,1777485036602469779,1777485036602577695
1777485036698,1777485036603220563,1777485036603323043
1777485036698,1777485036603910945,1777485036604084900
1777485036698,1777485036604833167,1777485036605017490
1777485036699,1777485036605961154,1777485036606079238
1777485036699,1777485036606939448,1777485036607220010
1777485036699,1777485036608063408,1777485036608187432
1777485036699,1777485036608973650,1777485036609170155
1777485036699,1777485036609832753,1777485036609992010
1777485036699,1777485036610898125,1777485036611159459
1777485036699,1777485036612034467,1777485036612131713
1777485036700,1777485036613003802,1777485036613257284
1777485036700,1777485036613631669,1777485036613759719
1777485036700,1777485036615047467,1777485036615203905
1777485036700,1777485036615879691,1777485036616003815
1777485036700,1777485036616412528,1777485036616534034
1777485036700,1777485036617366661,1777485036617538703
1777485036700,1777485036618447938,1777485036618577196
1777485036700,1777485036619176676,1777485036619917292
1777485036700,1777485036620684786,1777485036620853204
1777485036700,1777485036621626940,1777485036621806935
1777485036700,1777485036622626676,1777485036622763685
1777485036700,1777485036623751845,1777485036623901337
1777485036700,1777485036624561922,1777485036624914160
1777485036700,1777485036625773564,1777485036625908057
1777485036702,1777485036628891359,1777485036629090179
1777485036702,1777485036629938913,1777485036630065352
1777485036702,1777485036630791673,1777485036631445413
1777485036702,1777485036631826140,1777485036631953284
1777485036702,1777485036632604003,1777485036632750375
1777485036702,1777485036633452737,1777485036633663133
1777485036705,1777485036635180203,1777485036636255843
1777485036705,1777485036636512245,1777485036636647745
1777485036705,1777485036637211285,1777485036637414232
1777485036705,1777485036638859929,1777485036638994421
